Time;X;Y;Z;Vx;Vy;Vz;Ax;Ay;Az;Jx;Jy;Jz
1.032000;0.112720;0.100023;0.000000;0.108419;0.000054;0.000000;0.548249;-0.000144;0.000000;0.580656;-0.000201;0.000000
1.040000;0.113605;0.100023;0.000000;0.112823;0.000052;0.000000;0.552699;-0.000145;0.000000;0.531992;-0.000190;0.000000
1.048000;0.114525;0.100024;0.000000;0.117261;0.000051;0.000000;0.556762;-0.000147;0.000000;0.483904;-0.000179;0.000000
1.056000;0.115481;0.100024;0.000000;0.121730;0.000050;0.000000;0.560443;-0.000148;0.000000;0.436391;-0.000168;0.000000
1.064000;0.116473;0.100024;0.000000;0.126227;0.000049;0.000000;0.563746;-0.000150;0.000000;0.389455;-0.000158;0.000000
1.072000;0.117501;0.100025;0.000000;0.130749;0.000048;0.000000;0.566676;-0.000151;0.000000;0.343094;-0.000148;0.000000
1.080000;0.118565;0.100025;0.000000;0.135293;0.000047;0.000000;0.569237;-0.000152;0.000000;0.297310;-0.000137;0.000000
1.088000;0.119665;0.100025;0.000000;0.139856;0.000045;0.000000;0.571434;-0.000153;0.000000;0.252101;-0.000127;0.000000
1.096000;0.120803;0.100026;0.000000;0.144435;0.000044;0.000000;0.573272;-0.000154;0.000000;0.207468;-0.000117;0.000000
1.104000;0.121976;0.100026;0.000000;0.149027;0.000043;0.000000;0.574755;-0.000155;0.000000;0.163411;-0.000107;0.000000
1.112000;0.123187;0.100027;0.000000;0.153630;0.000042;0.000000;0.575888;-0.000156;0.000000;0.119930;-0.000097;0.000000
1.120000;0.124434;0.100027;0.000000;0.158240;0.000040;0.000000;0.576675;-0.000156;0.000000;0.077025;-0.000088;0.000000
1.128000;0.125719;0.100027;0.000000;0.162856;0.000039;0.000000;0.577122;-0.000157;0.000000;0.034696;-0.000078;0.000000
1.136000;0.127040;0.100027;0.000000;0.167473;0.000038;0.000000;0.577232;-0.000158;0.000000;-0.007057;-0.000069;0.000000
1.144000;0.128398;0.100028;0.000000;0.172091;0.000037;0.000000;0.577011;-0.000158;0.000000;-0.048234;-0.000059;0.000000
1.152000;0.129794;0.100028;0.000000;0.176705;0.000035;0.000000;0.576462;-0.000159;0.000000;-0.088836;-0.000050;0.000000
1.160000;0.131226;0.100028;0.000000;0.181313;0.000034;0.000000;0.575591;-0.000159;0.000000;-0.128861;-0.000041;0.000000
1.168000;0.132695;0.100029;0.000000;0.185913;0.000033;0.000000;0.574402;-0.000159;0.000000;-0.168311;-0.000032;0.000000
1.176000;0.134200;0.100029;0.000000;0.190503;0.000031;0.000000;0.572899;-0.000160;0.000000;-0.207184;-0.000023;0.000000
1.184000;0.135743;0.100029;0.000000;0.195079;0.000030;0.000000;0.571088;-0.000160;0.000000;-0.245482;-0.000015;0.000000
1.192000;0.137322;0.100029;0.000000;0.199639;0.000029;0.000000;0.568973;-0.000160;0.000000;-0.283204;-0.000006;0.000000
1.200000;0.138937;0.100030;0.000000;0.204182;0.000028;0.000000;0.566559;-0.000160;0.000000;-0.320350;0.000003;0.000000
1.208000;0.140588;0.100030;0.000000;0.208703;0.000026;0.000000;0.563849;-0.000160;0.000000;-0.356920;0.000011;0.000000
1.216000;0.142276;0.100030;0.000000;0.213202;0.000025;0.000000;0.560849;-0.000160;0.000000;-0.392914;0.000019;0.000000
1.224000;0.144000;0.100030;0.000000;0.217676;0.000024;0.000000;0.557564;-0.000159;0.000000;-0.428332;0.000027;0.000000
1.232000;0.145759;0.100030;0.000000;0.222123;0.000023;0.000000;0.553998;-0.000159;0.000000;-0.463174;0.000035;0.000000
1.240000;0.147553;0.100031;0.000000;0.226539;0.000021;0.000000;0.550155;-0.000159;0.000000;-0.497440;0.000043;0.000000
1.248000;0.149383;0.100031;0.000000;0.230924;0.000020;0.000000;0.546040;-0.000159;0.000000;-0.531131;0.000051;0.000000
1.256000;0.151248;0.100031;0.000000;0.235275;0.000019;0.000000;0.541658;-0.000158;0.000000;-0.564245;0.000059;0.000000
1.264000;0.153148;0.100031;0.000000;0.239590;0.000017;0.000000;0.537014;-0.000158;0.000000;-0.596784;0.000066;0.000000
1.272000;0.155081;0.100031;0.000000;0.243867;0.000016;0.000000;0.532111;-0.000157;0.000000;-0.628746;0.000074;0.000000
1.280000;0.157049;0.100031;0.000000;0.248103;0.000015;0.000000;0.526955;-0.000156;0.000000;-0.660133;0.000081;0.000000
1.288000;0.159051;0.100031;0.000000;0.252298;0.000014;0.000000;0.521551;-0.000156;0.000000;-0.690944;0.000088;0.000000
1.296000;0.161086;0.100031;0.000000;0.256448;0.000012;0.000000;0.515902;-0.000155;0.000000;-0.721179;0.000096;0.000000
1.304000;0.163154;0.100032;0.000000;0.260551;0.000011;0.000000;0.510013;-0.000154;0.000000;-0.750838;0.000103;0.000000
1.312000;0.165255;0.100032;0.000000;0.264607;0.000010;0.000000;0.503890;-0.000153;0.000000;-0.779921;0.000109;0.000000
1.320000;0.167388;0.100032;0.000000;0.268613;0.000009;0.000000;0.497536;-0.000152;0.000000;-0.808428;0.000116;0.000000
1.328000;0.169552;0.100032;0.000000;0.272567;0.000008;0.000000;0.490957;-0.000151;0.000000;-0.836359;0.000123;0.000000
1.336000;0.171749;0.100032;0.000000;0.276468;0.000006;0.000000;0.484156;-0.000150;0.000000;-0.863714;0.000129;0.000000
1.344000;0.173976;0.100032;0.000000;0.280313;0.000005;0.000000;0.477139;-0.000149;0.000000;-0.890494;0.000136;0.000000
1.352000;0.176233;0.100032;0.000000;0.284101;0.000004;0.000000;0.469910;-0.000148;0.000000;-0.916697;0.000142;0.000000
1.360000;0.178521;0.100032;0.000000;0.287831;0.000003;0.000000;0.462473;-0.000147;0.000000;-0.942325;0.000148;0.000000
1.368000;0.180839;0.100032;0.000000;0.291500;0.000002;0.000000;0.454834;-0.000146;0.000000;-0.967377;0.000154;0.000000
1.376000;0.183185;0.100032;0.000000;0.295108;0.000000;0.000000;0.446997;-0.000145;0.000000;-0.991852;0.000160;0.000000
1.384000;0.185560;0.100032;0.000000;0.298652;-0.000001;0.000000;0.438966;-0.000143;0.000000;-1.015752;0.000166;0.000000
1.392000;0.187963;0.100032;0.000000;0.302131;-0.000002;0.000000;0.430746;-0.000142;0.000000;-1.039076;0.000172;0.000000
1.400000;0.190394;0.100032;0.000000;0.305543;-0.000003;0.000000;0.422342;-0.000141;0.000000;-1.061824;0.000177;0.000000
1.408000;0.192852;0.100032;0.000000;0.308888;-0.000004;0.000000;0.413758;-0.000139;0.000000;-1.083996;0.000183;0.000000
1.416000;0.195336;0.100032;0.000000;0.312163;-0.000005;0.000000;0.405000;-0.000138;0.000000;-1.105592;0.000188;0.000000
1.424000;0.197846;0.100032;0.000000;0.315367;-0.000006;0.000000;0.396070;-0.000136;0.000000;-1.126612;0.000193;0.000000
